,WVHT_max,DPD_at_peak,DPD_mean,APD_mean,MWD_at_peak,MWD_mean,wave_power,WVHT_max_2d_avg,MWD_2d_avg,APD_2d_avg,DPD_mean_2d_avg,wave_power_2d_avg,WVHT_max_3d_avg,MWD_3d_avg,APD_3d_avg,DPD_mean_3d_avg,wave_power_3d_avg,WVHT_max_MWD_interact,WVHT_max_DPD_mean_interact,WVHT_max_2d_avg_log,APD_2d_avg_log,wave_power_2d_avg_log,WVHT_max_3d_avg_log,MWD_wave_power_interact_log,nshor,DPD_mean_wave_power_interact^2,WVHT_max_APD_interact^2,WVHT_max_APD_interact_log^2,day_cos,is_winter
2010-01-02,1.96,15.38,14.656923076923078,9.327692307692308,314.0,323.15384615384613,22.266190446973148,2.12,323.0,8.95,12.955683760683762,24.219794485832253,2.356666666666667,321.6666666666667,9.263333333333334,13.19045584045584,29.369637323888167,615.4399999999999,28.727569230769234,1.1378330018213911,2.2975725511705014,3.227629181646801,1.2109484180623613,8.852605409323155,7.0,106506.82927267639,425.15140864,9.446905135086508,0.9994082116062598,1
2010-01-03,1.84,14.29,13.713999999999999,8.068000000000001,319.0,315.4,17.074505987999995,1.9,316.5,9.870000000000001,14.185461538461539,19.67034821748657,2.026666666666667,321.6666666666667,9.04,13.20845584045584,21.838031653221503,586.96,25.23376,1.0647107369924282,2.3860067011331183,3.028700220067817,1.1074619039450924,8.602961154218283,6.0,54830.80028398293,287.80443904000003,8.342937097651602,0.9986686402879997,1
2010-01-04,2.15,11.11,11.024,7.234,312.0,313.6,22.35775235199999,1.995,315.5,8.325,12.369,19.716129169999995,1.9833333333333332,315.0,9.056666666666667,13.131641025641025,20.56614959565771,670.8,23.701599999999996,1.0969442315674127,2.2326989655298792,3.030912583819286,1.0930412436186543,8.850319656297879,6.0,60748.37872247588,255.18465024999998,8.01859408517375,0.9976335468520451,1
2010-01-05,4.2,14.29,14.082499999999998,11.03,325.0,323.0833333333333,89.02921782725694,3.1750000000000003,318.5,9.545,12.553249999999998,55.69348508962847,2.7300000000000004,318.6666666666667,9.436666666666667,12.940166666666665,42.82049205575231,1365.0,59.146499999999996,1.429114358302819,2.355651813930738,4.0376593027145455,1.3164082336557243,10.272824348606553,18.0,1571898.992346939,2398.256784,15.299541615740075,0.9963032375991965,1
2010-01-06,3.47,16.67,15.91375,11.696250000000001,308.0,309.375,81.9884356875,3.835,316.5,11.965,14.998124999999998,85.50882675737847,3.2733333333333334,315.0,10.453333333333333,13.673416666666666,64.45846862225231,1068.76,55.220712500000005,1.5758811289052577,2.5622534189906276,4.460246452169658,1.4523941628244144,10.136717591443658,15.0,1702355.5183897482,1812.7924136100003,14.247055534009471,0.9946781061893646,1
2010-01-07,3.99,14.29,14.411428571428571,11.102857142857143,315.0,310.14285714285717,96.97750278717201,3.7300000000000004,311.5,11.855,15.162589285714287,89.48296923733601,3.8866666666666667,316.0,11.790000000000001,14.802559523809522,89.33171876730965,1256.8500000000001,57.5016,1.5539252025038417,2.553732840717853,4.505161647774013,1.5865104077903958,10.327084395324254,15.0,1953242.0278113743,2083.52079936,14.765410323654963,0.9927586335250793,1
2010-01-08,3.51,14.29,13.878571428571428,11.054285714285713,312.0,312.2857142857143,70.99485497813413,3.75,313.5,11.335,14.145,83.98617888265306,3.6566666666666667,311.6666666666667,11.646666666666667,14.734583333333333,83.3202644842687,1095.12,48.71378571428571,1.55814461804655,2.51244074998132,4.442488641888726,1.5382998846007607,10.005655742031607,15.0,970830.2111248304,1553.7235392899997,13.684509093056416,0.9905453876091833,1
2010-01-09,2.46,13.33,13.049999999999999,11.087142857142855,318.0,321.2857142857143,34.8180525,2.985,315.0,11.085,13.464285714285714,52.90645373906706,3.32,315.0,11.203333333333333,13.78,67.59680342176871,782.28,32.102999999999994,1.3825373122421782,2.4919650141554466,3.987250206165922,1.463255402256019,9.312277697749419,10.0,206457.1723576861,724.2772737599998,11.08271395298384,0.988039023376751,1
2010-01-10,2.44,14.29,11.948571428571427,9.331428571428571,321.0,322.42857142857144,31.251622688046634,2.45,319.5,10.239999999999998,12.499285714285712,33.034837594023315,2.8033333333333332,317.0,10.57,12.959047619047617,45.688176722060255,783.24,29.15451428571428,1.2383742310432684,2.419478844465545,3.5273846351542364,1.3358778752058746,9.213612102311124,7.0,139436.7054230996,541.8466617599998,10.173255449439672,0.985240282501282,1
2010-01-11,5.88,16.67,16.67,12.510000000000002,314.0,313.2857142857143,199.19091865306135,4.16,317.5,11.34,14.309285714285714,115.22127067055399,3.5933333333333333,317.6666666666667,11.206666666666665,13.889523809523808,88.42019794703599,1846.32,98.01960000000001,1.6409365794934714,2.5128460184772416,4.755495879908082,1.5246059769174027,11.043672729046506,27.0,11025804.019378036,5969.60207424,19.010275852131816,0.9821499931752291,1
